bracket_text	count	class	example_song_ids
Chorus	24195	section_marker	hf_00002,hf_00002,hf_00002,hf_00008,hf_00008
Verse 2	9531	section_marker	hf_00002,hf_00004,hf_00008,hf_00011,hf_00019
Bridge	4529	section_marker	hf_00019,hf_00029,hf_00041,hf_00042,hf_00050
?	4187	other	hf_00023,hf_00078,hf_00111,hf_00138,hf_00138
Outro	4046	section_marker	hf_00002,hf_00008,hf_00011,hf_00036,hf_00042
Pre-Chorus	3765	section_marker	hf_00008,hf_00008,hf_00011,hf_00011,hf_00029
Verse 3	2733	section_marker	hf_00004,hf_00025,hf_00026,hf_00029,hf_00036
Verse 1	2347	section_marker	hf_00019,hf_00042,hf_00057,hf_00095,hf_00148
Hook	2290	section_marker	hf_00041,hf_00072,hf_00072,hf_00115,hf_00147
Verse	1307	section_marker	hf_00078,hf_00078,hf_00084,hf_00115,hf_00140
Post-Chorus	990	section_marker	hf_00057,hf_00080,hf_00080,hf_00133,hf_00133
Verse 4	724	section_marker	hf_00004,hf_00171,hf_00233,hf_00279,hf_00280
Refrain	673	section_marker	hf_00026,hf_00044,hf_00266,hf_00266,hf_00266
Chorus 2	533	section_marker	hf_00117,hf_00122,hf_00122,hf_00139,hf_00175
Chorus 1	493	section_marker	hf_00122,hf_00122,hf_00122,hf_00175,hf_00175
Instrumental	318	section_marker	hf_00255,hf_00255,hf_00273,hf_00298,hf_00736
Interlude	307	section_marker	hf_00050,hf_00187,hf_00299,hf_00628,hf_00704
Verse 5	257	section_marker	hf_00004,hf_00171,hf_00279,hf_00355,hf_00363
Chorus:	250	section_marker	hf_00039,hf_00039,hf_00113,hf_00113,hf_00113
Pre-Chorus 2	234	section_marker	hf_00127,hf_00187,hf_00295,hf_00485,hf_00634
Drop	228	section_marker	hf_00096,hf_00096,hf_00104,hf_00104,hf_01303
Pre-Chorus 1	218	section_marker	hf_00187,hf_00295,hf_00485,hf_00634,hf_00648
Instrumental Break	214	section_marker	hf_00164,hf_00244,hf_00263,hf_00387,hf_00648
Chorus 3	159	section_marker	hf_00198,hf_00267,hf_00283,hf_00566,hf_00849
Guitar Solo	139	section_marker	hf_00073,hf_00122,hf_00510,hf_01091,hf_01132
x2	126	repeat_marker	hf_00610,hf_00635,hf_00687,hf_00829,hf_00930
Verse 6	124	section_marker	hf_00004,hf_00363,hf_00794,hf_01036,hf_01406
Pre Chorus	118	section_marker	hf_00981,hf_00981,hf_01173,hf_01173,hf_02725
Verse 2:	112	section_marker	hf_00039,hf_00063,hf_00113,hf_00440,hf_00635
HOOK	90	section_marker	hf_00452,hf_00452,hf_00452,hf_01178,hf_01178
Chorus x2	78	section_marker	hf_00281,hf_00714,hf_00714,hf_00930,hf_00930
VERSE 2	75	section_marker	hf_00203,hf_00310,hf_00432,hf_00452,hf_00810
Instrumental Bridge	72	section_marker	hf_00112,hf_00354,hf_00479,hf_01159,hf_01779
Breakdown	70	section_marker	hf_01630,hf_02304,hf_03075,hf_03338,hf_03576
Pre-Hook	69	section_marker	hf_00147,hf_00306,hf_00819,hf_01325,hf_01325
Hook:	64	section_marker	hf_00063,hf_00063,hf_00635,hf_01176,hf_01176
Break	62	section_marker	hf_00004,hf_00004,hf_00004,hf_00004,hf_00004
Intro	58	section_marker	hf_01507,hf_01782,hf_03405,hf_03612,hf_03699
Hook x2	55	section_marker	hf_00148,hf_00157,hf_00590,hf_00590,hf_01592
2x	55	repeat_marker	hf_00185,hf_00185,hf_00185,hf_01565,hf_01565
Solo	55	section_marker	hf_00231,hf_00930,hf_01043,hf_01043,hf_02308
Bridge 2	53	section_marker	hf_00441,hf_00474,hf_00807,hf_01200,hf_01416
Verse 7	50	section_marker	hf_01036,hf_02340,hf_02920,hf_03730,hf_04880
Bridge 1	48	section_marker	hf_00566,hf_01200,hf_01463,hf_01630,hf_03126
Post Chorus	46	section_marker	hf_00474,hf_01507,hf_02080,hf_03473,hf_03473
verse 2	45	section_marker	hf_00058,hf_00516,hf_00757,hf_01313,hf_01324
Chrous	43	speaker_or_tag	hf_00180,hf_00680,hf_02342,hf_03026,hf_03026
BRIDGE	42	section_marker	hf_00310,hf_00432,hf_00953,hf_01007,hf_01301
Instrumental Outro	42	section_marker	hf_00634,hf_01159,hf_01392,hf_02371,hf_02479
hook	41	section_marker	hf_01033,hf_03320,hf_04117,hf_05108,hf_05383
Outro:	40	section_marker	hf_00039,hf_01176,hf_01617,hf_03450,hf_03826
Bridge:	40	section_marker	hf_00440,hf_00660,hf_01176,hf_01176,hf_01617
VERSE	40	section_marker	hf_00452,hf_00651,hf_01301,hf_03100,hf_03763
x3	39	repeat_marker	hf_00687,hf_01756,hf_02817,hf_02817,hf_03450
Pre-Drop	38	section_marker	hf_02180,hf_02180,hf_02187,hf_02862,hf_02862
??	38	other	hf_02407,hf_02407,hf_02407,hf_02407,hf_02407
Verse 1:	37	section_marker	hf_02056,hf_02666,hf_03383,hf_03735,hf_04781
PreChorus	36	section_marker	hf_00175,hf_00175,hf_02846,hf_02846,hf_05115
Verse Two	36	section_marker	hf_02424,hf_02682,hf_02822,hf_03970,hf_04079
Spoken	35	section_marker	hf_00103,hf_00103,hf_00103,hf_00103,hf_00103
verse	35	section_marker	hf_01033,hf_03686,hf_03686,hf_05108,hf_05653
Guitar solo	33	section_marker	hf_00217,hf_00326,hf_00874,hf_01741,hf_01969
x4	32	repeat_marker	hf_00590,hf_01408,hf_01408,hf_02044,hf_02089
Hook 2	32	section_marker	hf_01334,hf_01334,hf_01334,hf_04382,hf_04612
VERSE 1	31	section_marker	hf_00810,hf_01178,hf_01645,hf_02430,hf_03001
Verse 8	31	section_marker	hf_02340,hf_02920,hf_05268,hf_05451,hf_06808
bridge	30	section_marker	hf_00215,hf_00757,hf_00837,hf_03686,hf_05052
Instrumental break	29	section_marker	hf_00735,hf_01262,hf_02748,hf_03440,hf_06678
VERSE 3	29	section_marker	hf_00840,hf_02046,hf_03001,hf_03618,hf_04402
COMPANY	29	speaker_or_tag	hf_01052,hf_01052,hf_01052,hf_01052,hf_01052
Rosenberg	29	speaker_or_tag	hf_13766,hf_13766,hf_13766,hf_13766,hf_13766
Pre-Chorus:	28	section_marker	hf_00440,hf_00440,hf_01617,hf_01617,hf_03759
outro	27	section_marker	hf_00215,hf_02778,hf_03686,hf_09014,hf_09470
Chorus: All	27	section_marker	hf_00461,hf_02710,hf_02710,hf_06451,hf_06451
Chorus: Both	26	section_marker	hf_00112,hf_01589,hf_01589,hf_01589,hf_09160
Verse 3:	26	section_marker	hf_00113,hf_00635,hf_01617,hf_01915,hf_07264
OUTRO	26	section_marker	hf_00310,hf_02046,hf_02372,hf_02729,hf_03618
Chorus: Joy Williams & John Paul White	26	section_marker	hf_00315,hf_00315,hf_00315,hf_02937,hf_02937
???	26	other	hf_02875,hf_04605,hf_07788,hf_08384,hf_08384
verse 1	25	section_marker	hf_01313,hf_02420,hf_05052,hf_05383,hf_06606
ALBERT	24	speaker_or_tag	hf_11604,hf_26725,hf_26725,hf_26725,hf_26725
Taste So Sweet	24	speaker_or_tag	hf_24168,hf_24168,hf_24168,hf_24168,hf_24168
NURSE SMITH	24	speaker_or_tag	hf_26725,hf_26725,hf_26725,hf_26725,hf_26725
Pre-Chorus 3	23	section_marker	hf_00485,hf_01272,hf_01481,hf_04461,hf_05588
Chours	22	speaker_or_tag	hf_02684,hf_02684,hf_04909,hf_04909,hf_04909
Both	22	speaker_or_tag	hf_06598,hf_06609,hf_06609,hf_06609,hf_08070
Chorus: Future	22	section_marker	hf_10118,hf_11806,hf_11806,hf_11806,hf_11806
PRE-Chorus	21	section_marker	hf_00203,hf_00203,hf_00840,hf_01301,hf_01301
Verse:	21	section_marker	hf_00944,hf_01285,hf_01285,hf_05198,hf_07897
Travis	21	speaker_or_tag	hf_13766,hf_13766,hf_13766,hf_13766,hf_13766
Instrumental Interlude	20	section_marker	hf_03190,hf_03925,hf_04873,hf_10035,hf_10303
Verse 9	19	section_marker	hf_02340,hf_05268,hf_05451,hf_06808,hf_07509
Verse One	19	section_marker	hf_02424,hf_02622,hf_02822,hf_04079,hf_04645
Hook 1	19	section_marker	hf_04382,hf_04612,hf_05430,hf_05433,hf_06963
Travis Scott	18	speaker_or_tag	hf_13766,hf_13766,hf_13766,hf_13766,hf_13766
JACK	18	speaker_or_tag	hf_28513,hf_28513,hf_28513,hf_28513,hf_28513
ALL	17	speaker_or_tag	hf_00546,hf_12649,hf_12649,hf_26796,hf_27716
ENSEMBLE	17	speaker_or_tag	hf_17060,hf_17060,hf_17060,hf_17060,hf_17060
Instrumental bridge	16	section_marker	hf_00577,hf_06949,hf_07771,hf_08991,hf_10653
Refrão	16	other	hf_01141,hf_01141,hf_09466,hf_09466,hf_10276
Incomprehensible	16	speaker_or_tag	hf_02543,hf_02543,hf_02543,hf_02543,hf_06661
Chorus 4	16	section_marker	hf_06198,hf_06387,hf_06387,hf_06387,hf_06387
Verse2	15	section_marker	hf_00613,hf_01726,hf_05068,hf_08708,hf_10935
Post-Hook	15	section_marker	hf_01325,hf_01325,hf_01325,hf_03014,hf_03014
Buildup	15	speaker_or_tag	hf_02180,hf_02180,hf_02180,hf_05361,hf_06554
Bradley & Roz	15	speaker_or_tag	hf_27594,hf_27594,hf_27594,hf_27594,hf_27594
Refrain 2	14	section_marker	hf_00184,hf_01130,hf_03602,hf_08020,hf_08625
4x	14	repeat_marker	hf_00185,hf_01565,hf_12524,hf_13803,hf_13803
Hook 2x	14	section_marker	hf_02822,hf_03382,hf_04877,hf_05551,hf_05551
Tag	14	speaker_or_tag	hf_03314,hf_10900,hf_12211,hf_12211,hf_12211
inaudible	14	speaker_or_tag	hf_04027,hf_04027,hf_04255,hf_04255,hf_04255
Let me hold you	14	speaker_or_tag	hf_23635,hf_23635,hf_23635,hf_23635,hf_23635
verse 3	13	section_marker	hf_00058,hf_00757,hf_01324,hf_02105,hf_06606
Chorus 2x	13	section_marker	hf_02098,hf_02098,hf_02098,hf_14212,hf_18344
Verse 10	13	section_marker	hf_02340,hf_05268,hf_06808,hf_10341,hf_11316
Verse Three	13	section_marker	hf_02424,hf_04079,hf_04645,hf_06186,hf_06636
Chorus/Outro	13	section_marker	hf_02723,hf_02786,hf_03669,hf_03986,hf_07828
...	13	speaker_or_tag	hf_06146,hf_11385,hf_14702,hf_14702,hf_14702
Sung	12	speaker_or_tag	hf_00103,hf_00103,hf_00103,hf_00103,hf_00103
ALADDIN	12	speaker_or_tag	hf_02536,hf_02536,hf_27716,hf_27716,hf_27716
