new_term	count	top_sources
direction	458	way:424, instructions:34
cry	382	screaming:251, cried:131
shout	349	screaming:251, cried:98
injury	299	hurts:189, trauma:110
thinking	279	thoughts:279
presently	265	soon:265
purpose	262	use:144, function:118
truly	262	genuinely:262
plane	262	airplane:246, even:16
individual	261	soul:239, personal:22
procedure	258	process:258
altogether	257	completely:245, whole:12
impression	256	feelings:248, opinions:8
notion	256	feelings:248, opinions:8
minute	254	minutes:254
everyday	246	ordinary:246
mundane	246	ordinary:246
routine	246	ordinary:246
rather	245	instead:245
task	245	project:129, projects:116
person	239	soul:239
softly	236	quietly:236
evening	227	even:227
limit	221	boundaries:221
folk	219	folks:219
result	213	outcome:121, results:92
possibly	204	maybe:204
perhaps	204	maybe:204
aid	192	help:192
assistance	192	help:192
attention	186	care:186
joy	184	joys:184
point	183	detail:183
effect	156	outcome:92, results:64
consequence	156	outcome:92, results:64
season	156	seasons:156
totally	155	completely:143, whole:12
flavor	147	feelings:147
spirit	147	feelings:147
tone	147	feelings:147
function	144	use:144
driver	144	drivers:144
signal	140	signals:140
power	140	ability:140
end	138	ending:138
overnight	137	longer:135, long:2
endless	137	longer:135, long:2
miss	137	missing:137
movement	135	motions:135
report	135	account:135
