rank	cluster_i	cluster_j	cosine_sim
1	9	23	0.829097
2	9	27	0.752824
3	9	13	0.704677
4	23	25	0.685102
5	23	27	0.681078
6	9	28	0.675773
7	1	9	0.675352
8	5	9	0.668806
9	1	23	0.663316
10	9	25	0.645498
11	3	23	0.643901
12	5	23	0.642921
13	13	23	0.641292
14	2	9	0.607819
15	13	27	0.605904
16	2	23	0.603894
17	3	9	0.593320
18	9	17	0.569991
19	23	28	0.567130
20	8	9	0.558269
21	8	13	0.557552
22	25	27	0.556253
23	20	23	0.554923
24	17	27	0.552919
25	9	18	0.548777
26	1	5	0.547390
27	1	25	0.542146
28	9	10	0.540810
29	17	23	0.537080
30	1	27	0.533371
31	17	28	0.528978
32	27	28	0.527993
33	9	21	0.527134
34	26	27	0.524271
35	21	23	0.521896
36	18	23	0.521621
37	8	23	0.521416
38	5	28	0.517040
39	5	27	0.516589
40	9	20	0.516514
41	8	27	0.510028
42	5	25	0.506950
43	9	26	0.502041
44	1	28	0.500469
45	1	13	0.498078
46	2	27	0.494903
47	14	23	0.491587
48	1	3	0.489773
49	23	26	0.489425
50	9	11	0.485772
