K	inertia_rss	silhouette_cosine_sampled	silhouette_sampled_n	size_min	size_max	n_small_clusters
3	9639.525023080514	0.01767217598824317	5000	2039	5242	0
4	9579.148733671136	0.0223371370569813	5000	1346	3483	0
5	9516.214785927716	0.026568154783890213	5000	1220	3276	0
6	9453.190740238326	0.031452287778544225	5000	1141	3442	0
7	9419.110397751783	0.03362560492070966	5000	497	3173	0
8	9337.73121606641	0.04219283126342316	5000	1201	1301	0
9	9311.76546942626	0.04013622487017085	5000	309	1849	0
10	9266.552089773619	0.0446608164117358	5000	351	1260	0
11	9227.372065478909	0.04345201655583737	5000	261	1646	0
12	9171.42415203832	0.04932753486962524	5000	241	1414	0
13	9153.36035961865	0.05053828084116046	5000	220	1158	0
14	9115.995722247097	0.050286295727791384	5000	221	1064	0
15	9084.225532337887	0.05256184169207868	5000	227	1049	0
16	9042.948638164398	0.055212362897086725	5000	230	1087	0
17	9011.273645874724	0.05530335198350026	5000	241	1053	0
18	8990.362798168277	0.05714237828715611	5000	127	1055	0
19	8939.833702408592	0.06001975231823626	5000	117	979	0
20	8917.65760721541	0.06275439235348794	5000	117	1055	0
21	8896.475535694726	0.0618459110806047	5000	126	954	0
22	8833.647517449854	0.0661954825102568	5000	117	943	0
23	8809.384451851547	0.06897784755370721	5000	117	801	0
24	8791.477791872374	0.06901446951865903	5000	117	931	0
25	8759.466959222376	0.07194218874286673	5000	109	851	0
26	8723.421926581575	0.07240042190174024	5000	104	982	0
27	8690.74392191944	0.07706168713774816	5000	109	995	0
28	8666.068422304974	0.07643596740480679	5000	108	843	0
29	8641.879884144173	0.07910167202684118	5000	105	985	0
30	8614.528041145932	0.07894681845625523	5000	104	737	0
