topic_id	size	top_keywords
0	336	block, pulley, pisces, microwave, divided, block pulley, stuff, jam, obstruct, freeze, obturate, parry
1	208	stop, break, buttocks stop, diaphragm, consonant, stop consonant, stopover, stoppage, intercept, discontinue, block arrest, end displace
2	356	turn, twist, come, day, bend, flex, sprain, change, theme, plot, eddy, winding
3	234	left, leave, zero, left hand, zone, exit, impart, block, bequeath, entrust, hand, forth
4	289	sit, used, loosen, rouse, arouse, energize, emotional, aroused, activated, excite, delirious, excited
5	687	won, try, cold, nerve, opening, south, shout, unknown, korean won, korean, hand, test
6	225	key, low, scott key, key fruit, fruit, central, tonality, francis scott, francis, discover, samara, identify
7	610	reading, cheat, folding, fold, close, thinker, just, battery, wash, day, laundry, dish
8	651	service, gross, open, section, post, angstrom, wide, shower, revolt, disgust, citizenry, multitude
9	985	low, run, day, camera, energy, wear, spill, lecture, talk, calm, sorrow, pass
10	658	day, coffee, assignment, moment, grateful, thankful, cosy, happy, felicitous, glad, chosen, walking
11	258	process, sit, work, physical process, march, unconscious process, outgrowth, unconscious, cognitive process, cognitive, sue, procedure
12	467	age, pop, surprise, storm, head, state, individual, surprisal, person, honorable, principal, wide
13	123	tea, campaign, race, sinensis, political campaign, belatedly, runs, footrace, belated, burp, foot race, foot
14	286	bank, check, week, report, step, run, calm, fit, clock, angstrom, thousand, tone
15	299	pay, hand, album, contract, beget, scram, develop, skin, vex, perplex, drive, buzz
16	731	south, multitude, masses, citizenry, people, group, thousand, conviction, touch, wherefore, meeting, tired
17	122	material, look, colours, look discolor, colouring material, sky, semblance, colorize, coloring material, coloring, discolour, discolor
18	215	service, cargo, hold, burst, set, defy, cargo area, cargo deck, grasp, bind, defend, declare
19	105	clean, folk, music, don, family, clean house, uncontaminating, clean family, houseclean, strip, clean jerk, uninfected
20	199	turn, consumption, driver, change, spell, good turn, bout, turning, events, turn events, crook, routine
21	117	screen, work, silver screen, riddle, crt screen, crt, oeuvre, filmdom, screenland, sieve, piece work, exploit employment
22	246	clock, family, book, time, bible, syndicate, dinner, record, clock time, dimension, fourth, fourth dimension
23	282	machine, angstrom, run, walking, walk, mail, like, sledding, simple, resolve, political machine, reply
24	597	trip, energy, impulse, space, department, angstrom, week, thousand, astir, hype, represent, exist
25	275	month, nerve, energy, try, play, period, cool, angstrom, free, months, restaurant, immunoglobulin
26	113	point, thousand, distributor, decimal, aim, percentage, percentage point, dot, compass, compass point, repoint, power point
27	204	covering, cover, binding, rest, function, begin, eternal rest, ability, mathematical function, officiate, sopor, office
28	122	sit, low, bus, busbar, mass, low headphones, sitting, bulk, seated, bus topology, headphones, jalopy
